mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_class_weight	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
1.2854627132415772	0.025003173854642787	0.018640422821044923	0.001501679170450576			sqrt	1	10	400	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}	0.5364527945173106	0.5250434604765313	0.6158730158730159	0.558540723101586	0.5521043771043772	0.5576028742145642	0.031413257500826734	924
1.597267246246338	0.03375796650488222	0.025846433639526368	0.01006763063981369			sqrt	1	10	500	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}	0.5541223803518884	0.5494002060931195	0.6295019157088123	0.5674392312040701	0.5521043771043772	0.5705136220924535	0.030141068677450443	411
1.9209038734436035	0.03535811393434949	0.02506146430969238	0.005049103048496367			sqrt	1	10	600	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 600}	0.5541223803518884	0.5805128205128205	0.6295019157088123	0.5608294930875576	0.536	0.5721933219322157	0.03199731571673768	358
0.08129286766052246	0.004610369685435905	0.002328157424926758	0.0008428365805620137			sqrt	2	2	25	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}	0.4595416157916158	0.6103441050474949	0.48491586173379503	0.5643097643097642	0.5674392312040701	0.537310115617348	0.05614945351968064	1901
0.14939956665039061	0.003132159580052913	0.004066991806030274	0.0017640631971221961			sqrt	2	2	50	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}	0.46065934065934067	0.5686176714492661	0.49551656920077974	0.5600335249042145	0.5763324299909666	0.5322319072409136	0.0458527168726677	2054
0.32169055938720703	0.0050689197867927385	0.005516815185546875	0.0007422106524406286			sqrt	2	2	100	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}	0.5686176714492661	0.5332404863654864	0.5346780594854555	0.5642528049471155	0.6045092972589553	0.5610596639012557	0.026172833079632318	793
0.46040616035461424	0.031789164270052725	0.007912874221801758	0.001719848082661414			sqrt	2	2	150	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}	0.5186603650586702	0.5086741961741962	0.5496296296296296	0.5193769235600779	0.5617777777777778	0.5316237784400704	0.020387217663260473	2065
0.6413827896118164	0.024609695921688244	0.011943817138671875	0.0014780968741053954			sqrt	2	2	200	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}	0.5736653635813299	0.5086741961741962	0.5496296296296296	0.5642528049471155	0.536	0.5464443988664542	0.022820778344538408	1490
0.9452912330627441	0.03150287356035119	0.014438772201538086	0.002194864287300064			sqrt	2	2	300	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}	0.5775896234912629	0.5332404863654864	0.597037037037037	0.5037037037037037	0.536	0.549514170119498	0.03344463595935589	1351
1.2510964393615722	0.047360993555042745	0.020741748809814452	0.0029661738133642877			sqrt	2	2	400	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}	0.5865530363256697	0.5006867148599432	0.597037037037037	0.5037037037037037	0.5440445898461165	0.546405016354494	0.040235809505842005	1496
1.5253881931304931	0.021705100828190927	0.02645697593688965	0.002230697212674473			sqrt	2	2	500	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}	0.6010568666306372	0.5332404863654864	0.5824033867177165	0.5193769235600779	0.5179899949801804	0.5508135316508197	0.03434171941374447	1284
1.8837913990020752	0.048223859656525016	0.030582475662231445	0.006323341386959433			sqrt	2	2	600	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 600}	0.5865530363256697	0.5332404863654864	0.6155015388480624	0.5193769235600779	0.5179899949801804	0.5545323960158954	0.03941359541362616	1065
0.07765388488769531	0.006010194575642529	0.0028526782989501953	0.0008302981974823103			sqrt	2	5	25	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}	0.5156764139814987	0.591935635154711	0.5388522777849564	0.5785675232367414	0.5674392312040701	0.5584942162723955	0.027642175681526607	889
0.15691184997558594	0.007818309487851722	0.004471778869628906	0.0010201068276935272			sqrt	2	5	50	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}	0.5168323739752311	0.5086007326007326	0.5643097643097642	0.5171450000765334	0.5120327700972862	0.5237841282119093	0.020510299901876097	2211
0.29983177185058596	0.0125891484475159	0.005384588241577148	0.0019140730078556873			sqrt	2	5	100	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}	0.5565421245421245	0.4595416157916158	0.6113606098176976	0.5317416924852683	0.5695353535353536	0.5457442792344118	0.0502296389379747	1532
0.4596067428588867	0.0306939837944715	0.008157634735107422	0.002729432873536454			sqrt	2	5	150	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}	0.5494002060931195	0.5006867148599432	0.601980438612478	0.5346780594854555	0.5369121312666105	0.5447315100635214	0.032867598270760995	1585
0.6012759685516358	0.02687877371681379	0.01109466552734375	0.0029623404070940845			sqrt	2	5	200	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}	0.5332404863654864	0.5325714285714286	0.6207407407407407	0.558540723101586	0.5118803545783192	0.5513947466715121	0.037696720087135226	1242
0.9320815086364747	0.006959270593216944	0.013962507247924805	0.0023991275505516585			sqrt	2	5	300	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}	0.5325714285714286	0.4918550807098416	0.606266050333847	0.5203393939393939	0.5118803545783192	0.5325824616265661	0.03915727484255707	2042
1.291747808456421	0.0732689169784226	0.021216726303100585	0.007474251233501885			sqrt	2	5	400	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}	0.5250434604765313	0.484107905982906	0.6253933539882145	0.5279132791327914	0.5199252136752136	0.5364766426511314	0.047173434867004926	1930
1.5252121925354003	0.08212867386492179	0.024871826171875	0.0054490779197391955			sqrt	2	5	500	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}	0.5325714285714286	0.5325714285714286	0.6253933539882145	0.5434080773820741	0.5199252136752136	0.5507739004376718	0.03804371074571719	1286
1.8567001819610596	0.1170614465132251	0.03464035987854004	0.010414681372094578			sqrt	2	5	600	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 600}	0.5168323739752311	0.5325714285714286	0.597037037037037	0.5037037037037037	0.5118803545783192	0.5324049795731439	0.03365964964198249	2050
